id,categorie,rang,nom,commune,zone_police,date_designation,latitude,longitude,precision,description
chaussee-anvers,hotspot,1,Chaussée d'Anvers,Bruxelles-Ville,Bruxelles-Capitale-Ixelles,2024-03-28,50.8612,4.3527,centre indicatif,"Axe du quartier Nord, entre Yser et la gare du Nord ; vente de rue et consommation dans l'espace public."
matonge,hotspot,2,Matongé,Ixelles,Bruxelles-Capitale-Ixelles,2024-03-28,50.8337,4.3634,centre indicatif,"Point de deal jugé en 2026 (« procès Matonge », 44 à 46 prévenus, produit estimé à plus de 6 M€ par le parquet)."
yser,hotspot,3,Yser,Bruxelles-Ville,Bruxelles-Capitale-Ixelles,2024-03-28,50.8555,4.3497,centre indicatif,"Station et abords : scène de consommation ouverte, notamment de crack, à proximité du canal."
querelle,hotspot,4,Querelle (Marolles),Bruxelles-Ville,Bruxelles-Capitale-Ixelles,2024-03-28,50.8372,4.3438,centre indicatif,Quartier de logements sociaux des Marolles.
versailles,hotspot,5,Versailles (Neder-Over-Heembeek),Bruxelles-Ville,Bruxelles-Capitale-Ixelles,2024-03-28,50.901,4.3935,centre indicatif,Cité de logements sociaux au nord de la Région.
porte-de-hal,hotspot,6,Porte de Hal,Bruxelles-Ville / Saint-Gilles,Bruxelles-Capitale-Ixelles / Midi,2024-03-28,50.8333,4.3445,centre indicatif,À cheval sur deux communes et deux zones de police ; lieu de fusillades répétées (27 douilles relevées le 23 août 2026).
clemenceau,hotspot,7,Clemenceau,Anderlecht,Midi,2024-03-28,50.8374,4.329,centre indicatif,"Tirs à l'arme automatique près de la station en février 2025 ; 26 % des fusillades régionales de 2025, 17 % en 2026."
peterbos,hotspot,8,Peterbos,Anderlecht,Midi,2024-03-28,50.833,4.286,centre indicatif,Grand ensemble de logements sociaux ; 45 prévenus renvoyés en correctionnelle en 2026 (liens présumés avec Marseille et le Panama).
saint-antoine,hotspot,9,Saint-Antoine,Forest,Midi,2024-03-28,50.8195,4.3274,centre indicatif,Quartier autour de la place Saint-Antoine.
gare-du-midi,hotspot,10,Gare du Midi,Saint-Gilles / Anderlecht,Midi,2024-03-28,50.8359,4.336,centre indicatif,Premier nœud ferroviaire du pays ; patrouilles mixtes police-armée dans la gare et le métro depuis 2026.
gare-du-nord,hotspot,11,Gare du Nord,Schaerbeek / Saint-Josse / Bruxelles-Ville,Nord / Bruxelles-Capitale-Ixelles,2024-03-28,50.86,4.3614,centre indicatif,Fermetures nocturnes imposées aux commerces (1 h–6 h) ; précarité et consommation de rue.
etangs-noirs,hotspot,12,Étangs Noirs,Molenbeek-Saint-Jean,Bruxelles-Ouest,2024-03-28,50.8563,4.3334,centre indicatif,Station de métro et chaussée de Gand.
ribaucourt,hotspot,13,Ribaucourt,Molenbeek-Saint-Jean / Bruxelles-Ville,Bruxelles-Ouest,2024-03-28,50.8623,4.3447,centre indicatif,Scène de consommation ouverte ; la salle LINKup a ouvert à proximité le 15 décembre 2025.
bonnevie,hotspot,14,Bonnevie,Molenbeek-Saint-Jean,Bruxelles-Ouest,2024-03-28,50.8528,4.3312,centre indicatif,Quartier résidentiel dense du vieux Molenbeek.
borne-colonne,hotspot,15,Borne / Colonne (Paal/Kolom),Molenbeek-Saint-Jean,Bruxelles-Ouest,2024-03-28,50.8546,4.3397,centre indicatif,"Rues de la Borne et de la Colonne, près du canal."
aumale,hotspot,16,Aumale,Anderlecht,Midi,2024-12,50.8352,4.3163,centre indicatif,Premier ajout à la liste initiale ; tirs mortels près de la station en décembre 2024 (89e fusillade régionale de l'année).
parc-elisabeth,hotspot,17,Parc Élisabeth,Koekelberg / Ganshoren,Bruxelles-Ouest,2025-02,50.8645,4.329,centre indicatif,Abords de la basilique de Koekelberg ; surveillance renforcée et patrouilles communales.
marbotin,hotspot,18,Quartier Marbotin,Schaerbeek,Nord,2026-01,50.8625,4.377,centre indicatif,"Interdiction des rassemblements de plus de cinq personnes dès novembre 2025, après une fusillade mortelle le 7 novembre."
gray,hotspot,19,Quartier Gray,Ixelles,Bruxelles-Capitale-Ixelles,2026-09-18,50.8322,4.379,centre indicatif,"Périmètre rues Gray, Maria Malibran, de la Levure et de la Brasserie ; trafic prolongé de cannabis et de cocaïne."
gate,salle_consommation,,GATE (salle de consommation à moindre risque),Bruxelles-Ville,,,50.8433,4.344,approximative,Rue de Woeringen 9. Ouverte en mai 2022 (Transit et MASS). 33 559 consommations retirées de l'espace public entre mai 2022 et juin 2025.
linkup,salle_consommation,,LINKup (salle de consommation et halte soins),Molenbeek-Saint-Jean,,,50.86,4.3462,approximative,"Boulevard Léopold II 63, près de Ribaucourt. Ouverte le 15 décembre 2025 (Transit et Projet Lama) ; environ 15 places ; hébergement d'urgence prévu."
bethleem,zone_citee_hors_liste,,Place Bethléem,Saint-Gilles,,,50.8288,4.3431,approximative,Citée par l'article « Flopgunz » comme zone sensible non officielle ; fusillade le 16 décembre 2025.
aerschot,zone_citee_hors_liste,,Rue d'Aerschot,Schaerbeek,,,50.8627,4.3598,approximative,"Quartier Nord, citée par l'article « Flopgunz » comme zone non officielle."
anneessens,zone_citee_hors_liste,,Anneessens,Bruxelles-Ville,,,50.8446,4.3432,approximative,Citée par l'article « Flopgunz » parmi les zones du centre.
lemmens,zone_citee_hors_liste,,Place Lemmens,Anderlecht,,,50.841,4.3268,approximative,Citée par l'article « Flopgunz ».
