date,libelle_date,theme,evenement,sources
1921-02-24,1921,droit,"Loi sur le trafic des substances stupéfiantes, base du droit belge des drogues.",https://www.jeminforme.be/reglementation-belge-sur-les-drogues/
2021-03-09,9 mars 2021,justice,"Opération Sky ECC : 1 600 policiers, plus de 200 perquisitions après le décryptage de la messagerie chiffrée.",https://www.police.be/5998/fr/actualites/cinq-ans-apres-sky-ecc-les-resultats-de-cinq-annees-denquete-sur-les-donnees-sky-ecc
2022,2022,violence,56 fusillades en Région bruxelloise.,https://www.rtbf.be/article/fusillades-a-bruxelles-cartographie-d-une-augmentation-des-violences-liees-a-la-drogue-dans-la-capitale-11507104
2022-05,Mai 2022,sante,"Ouverture de GATE, première salle de consommation à moindre risque de Bruxelles (Transit, MASS).",http://fr.transitasbl.be/scmr-gate/ | https://www.iriscare.brussels/fr/2024/09/09/gate-une-reponse-sociale-et-sanitaire-face-a-la-consommation-de-drogue-a-bruxelles/
2023,2023,trafic,Record de saisies de cocaïne au port d’Anvers (environ 116 t). Création du Commissariat national drogue.,https://finances.belgium.be/sites/default/files/Customs/Over-de-AADA/Persberichten/Communiqu%C3%A9%20de%20presse-9-01-2025-FR.pdf | https://www.policingandsecurity.be/en/wp-content/uploads/2025/10/10-CNDC-FR.pdf
2024-01-15,15 janvier 2024,droit,Loi sur l’approche administrative communale et création de la DEIPP.,https://etaamb.openjustice.be/fr/loi-du-15-janvier-2024_n2024000706.html
2024-03-28,28 mars 2024,hotspots,Le Conseil régional de sécurité valide 15 hotspots.,https://www.lalibre.be/regions/bruxelles/2024/03/28/lutte-contre-le-trafic-de-drogue-a-bruxelles-voici-les-quinze-hotspots-valides-en-conseil-regional-de-securite-BVJ47X5KCREXBPOWHJUEO4KFNI/
2024-12,Décembre 2024,violence,"Tirs mortels à Aumale : 89e fusillade de l’année (9 morts, 48 blessés en 2024).",https://bx1.be/categories/news/les-tirs-mortels-a-aumale-sont-la-89e-fusillade-a-bruxelles-en-2024/ | https://www.dhnet.be/actu/faits/2024/12/23/lauteur-des-tirs-a-anderlecht-toujours-recherche-cest-la-89e-fusillade-en-2024-a-bruxelles-pour-9-deces-et-48-blesses-6SLLPYMKD5GHDIKUJPSYOJZXAE/
2024-12,Fin 2024,hotspots,Aumale devient hotspot.,https://bx1.be/categories/news/deux-ans-apres-sa-mise-en-place-ou-en-est-la-strategie-des-hotspots-en-region-bruxelloise/
2025-02-05,5 février 2025,violence,Tirs à l’arme automatique près de la station Clemenceau (Anderlecht).,https://www.lavenir.net/regions/bruxelles/anderlecht/2025/02/06/anderlecht-une-nouvelle-fusillade-pres-de-la-station-de-metro-clemenceau-fait-un-blesse-5VWJW7ZBVFHF5OV4VAQNSPQAPY/
2025-02,Février 2025,hotspots,Parc Élisabeth traité en hotspot ; stratégie prolongée de six mois.,https://bx1.be/categories/reportages/trafic-de-drogue-le-parc-elisabeth-traite-en-hotspot/ | https://www.lavenir.net/regions/bruxelles/2025/02/12/drogue-et-fusillades-a-bruxelles-la-strategie-des-hotspots-prolongee-de-6-mois-mais-on-ne-pourra-pas-tenir-ce-rythme-pendant-20-ans-TAEAZN44ABD27HG5QBGG3FDG3I/
2025-03,Mars 2025,justice,165 perceptions immédiates proposées à des acheteurs de drogue en mars 2025 ; agents de l’Office des étrangers détachés au parquet.,https://www.lavenir.net/regions/bruxelles/2025/04/02/la-verbalisation-des-consommateurs-de-drogue-va-sintensifier-a-bruxelles-165-propositions-de-perception-immediate-en-mars-2025-PRDFH6YTMNDTFJG3K2WWZY472M/ | https://www.lalibre.be/belgique/2026/06/26/lancee-en-2025-la-collaboration-entre-le-parquet-de-bruxelles-et-loffice-des-etrangers-a-permis-leloignement-de-94-delinquants-illegaux-en-un-an-X4JRXJPBTNBTTNKXJBJFEBEGN4/
2025-09-06,6 septembre 2025,politique,Le ministre de l’Intérieur présente le plan « Grandes Villes ».,https://bx1.be/categories/news/cameras-grosses-operations-policieres-militaires-voici-le-plan-grandes-villes-du-ministre-bernard-quintin/
2025-11-18,Novembre 2025,justice,Projet d’attaque contre le procureur du Roi déjoué ; huit arrestations.,https://www.lalibre.be/belgique/judiciaire/2025/11/18/une-possible-attaque-contre-le-procureur-bruxellois-julien-moinil-dejouee-huit-suspects-interpelles-RQTVI5FMRZER3NR3EDWR2JPWKQ/
2025-11-27,27 novembre 2025,hotspots,"Mesures d’exception dans le quartier Marbotin (Schaerbeek), hotspot en janvier 2026.",https://bx1.be/categories/news/controle-didentite-intediction-de-rassemblement-a-schaerbeek-la-securite-renforcee-dans-le-quartier-marbotin/ | https://www.lalibre.be/belgique/2025/11/27/la-situation-est-devenue-inacceptable-pour-les-habitants-un-quartier-de-schaerbeek-deviendra-un-hotspot-regional-en-janvier-2026-GXAI7T4I6NF7PHNSZH4K66DBRE/
2025-12-15,15 décembre 2025,sante,"Ouverture de LINKup à Molenbeek, deuxième salle de consommation.",https://www.iriscare.brussels/fr/2025/12/15/la-deuxieme-salle-de-consommation-a-moindre-risque-bruxelloise-a-ouvert-a-molenbeek/
2025-12-15,Décembre 2025,violence,97 fusillades recensées au 15 décembre ; plus de 100 sur l’année selon la police fédérale.,https://www.moustique.be/notre-epoque/nos-explications/2025/12/23/97-fusillades-en-2025-a-bruxelles-chaque-personne-qui-circule-a-bruxelles-peut-prendre-une-balle-perdue-3ZGC6JZLYNE3VD7PDHJ5J666NI/ | https://www.bruxellestoday.be/actualite/rapport-police-federale-101-fusillades-2025.html
2026-01-21,21 janvier 2026,trafic,La douane annonce 55 t de cocaïne saisies à Anvers en 2025 et plus de 20 t de marijuana.,https://www.vrt.be/vrtnws/fr/2026/01/21/au-port-d_anvers-la-douane-a-saisi-55-tonnes-de-cocaine-et-de-p/
2026-01-31,31 janvier 2026,justice,"Premier bilan du procureur Moinil : +174 % de déferrements, 125 M€ saisis.",https://www.lavenir.net/regions/bruxelles/2026/01/31/au-lendemain-dune-fusillade-le-procureur-du-roi-julien-moinil-tire-un-premier-bilan-ni-une-star-ni-un-politicien-je-fais-juste-mon-travail-BXGRUUL2GJH5XL6UAAPLEMJFTU/
2026-02-23,Février 2026,politique,Le ministre-président Boris Dilliès présente l’accord de gouvernement bruxellois.,https://www.lalibre.be/belgique/politique-belge/2026/02/23/accord-bruxellois-boris-dillies-presente-une-feuille-de-route-resserree-au-parlement-regional-FNWLAAWHWBA3XDK47FD7DIYXAU/
2026-02-27,27 février 2026,justice,"Bilan à cinq ans de Sky ECC : 673 dossiers, 224 M€ saisis, 3 684 années de prison.",https://www.police.be/5998/fr/actualites/cinq-ans-apres-sky-ecc-les-resultats-de-cinq-annees-denquete-sur-les-donnees-sky-ecc
2026-03-11,11 mars 2026,sante,"Sciensano publie l’analyse des eaux usées : cocaïne omniprésente, Bruxelles pas « épicentre » du crack.",https://bx1.be/categories/news/a-bruxelles-lanalyse-des-eaux-usees-nuance-limage-dun-epicentre-du-crack-il-ny-a-pas-de-profil-type-du-consommateur-de-drogues/
2026-03-23,23 mars 2026,politique,200 militaires déployés à Anvers et Bruxelles.,https://www.lavenir.net/actu/belgique/2026/03/23/200-militaires-deployes-en-rue-a-anvers-et-bruxelles-des-ce-lundi-le-but-cest-vraiment-que-ce-soit-provisoire-MG7VF6AS7NGMLNEKOC76GGRWTE/
2026-04-08,8 avril 2026,droit,Entrée en vigueur du nouveau Code pénal et de la loi aggravant les peines pour trafic.,https://refli.be/fr/lex/2026002199
2026-04-14,14 avril 2026,justice,Le parquet alerte sur le manque de places en IPPJ : dix mineurs relâchés.,https://bx1.be/categories/news/le-parquet-tire-la-sonnette-dalarme-sur-le-manque-criant-de-places-en-ippj/
2026-05-13,13 mai 2026,politique,La Chambre vote la fusion des six zones de police bruxelloises.,https://www.lalibre.be/belgique/judiciaire/2026/05/13/la-chambre-approuve-la-fusion-des-zones-de-police-a-bruxelles-24D2R22QIFEULCK2KO6GYM45IU/
2026-05-27,27 mai 2026,justice,Enquête pour blanchiment : 14 établissements horeca sous scellés.,https://bx1.be/categories/news/enquete-pour-blanchiment-a-bruxelles-14-commerces-mis-sous-scelles-et-trois-personnes-interpellees/
2026-05-30,30 mai 2026,justice,Dossier Peterbos : 45 suspects renvoyés en correctionnelle.,https://www.dhnet.be/regions/bruxelles/2026/05/30/45-suspects-renvoyes-devant-le-tribunal-pour-trafic-de-drogue-au-peterbos-des-liens-identifies-avec-marseille-et-le-panama-OSXGV6P42RFPTNBRX673YJB67A/
2026-06-10,10 juin 2026,justice,8 M€ saisis dans une enquête de blanchiment franco-belge.,https://www.lalibre.be/belgique/judiciaire/2026/06/10/huit-millions-deuros-saisis-et-six-personnes-interpellees-dans-une-affaire-de-blanchiment-WLCDBAU6NZE5LNARGEW2YB6HGA/
2026-06-16,16 juin 2026,politique,"La Région annonce un commissaire bruxellois aux drogues (1,5 M€ par an).",https://www.vrt.be/vrtnws/fr/2026/06/16/boris-dillies-revient-sur-sa-decision-bruxelles-aura-bien-un-c/
2026-06-29,Juin 2026,violence,63 % des fusillades de 2026 ont eu lieu hors des hotspots.,https://bx1.be/categories/news/bruxelles-63-des-fusillades-de-2026-ont-eu-lieu-hors-des-hotspots-drogue/
2026-07-03,3 juillet 2026,justice,Fusillade de Clemenceau : 13 et 11 ans de prison pour les auteurs.,https://www.dhnet.be/regions/bruxelles/2026/07/03/13-et-11-ans-de-prison-pour-les-auteurs-de-la-fusillade-de-clemenceau-TROS374IJVC7NI64SQZQZ22SA4/
2026-08-28,20-28 août 2026,violence,Vague de fusillades attribuée à deux bandes rivales ; 69 fusillades depuis janvier.,https://www.lalibre.be/belgique/judiciaire/2026/08/28/une-dynamique-de-represailles-entre-deux-bandes-rivales-a-lorigine-de-la-recente-vague-de-fusillades-SOVVZXENTRB5NCI6IIOPQ2FXBI/ | https://www.lalibre.be/belgique/judiciaire/2026/08/28/il-y-a-des-risques-pour-les-citoyens-julien-moinil-fait-le-point-sur-les-69-fusillades-depuis-le-debut-de-lannee-et-reclame-des-moyens-P6AJ4TQ6JJHSRKYCWXOFX4ECTI/
2026-09-11,11 septembre 2026,sante,Révélation du gel des places de revalidation (63).,https://www.lavenir.net/regions/bruxelles/bruxelles/2026/09/11/revalidation-des-toxicomanes-a-bruxelles-la-capacite-daccueil-est-restee-inchangee-pendant-3-ans-7JVE7HAOKFEOVI6NX3PSBPLMUQ/
2026-09-15,15 septembre 2026,justice,Ouverture du procès Matonge (44 à 46 prévenus).,https://www.lavenir.net/regions/bruxelles/ixelles/2026/09/14/drogue-6-millions-deuros-illegaux-blanchiment-dargent-armes-une-quarantaine-de-prevenus-poursuivis-pour-le-point-de-deal-de-matonge-a-ixelles-CRFYQOLT6FBIFK4D3WMTAGY4BE/
2026-09-18,18 septembre 2026,hotspots,Quartier Gray : 19e hotspot. Présence militaire prolongée de six mois.,https://www.dhnet.be/regions/bruxelles/2026/09/18/lutte-contre-le-trafic-de-drogue-dans-la-capitale-un-19e-hotspot-a-bruxelles-voici-ou-il-se-trouve-SMEFIOS2KRCM3MOE7VJPXDYFQI/ | https://www.lalibre.be/belgique/politique-belge/2026/09/18/les-militaires-resteront-six-mois-de-plus-dans-les-gares-et-metros-bruxellois-PIEMOLKFQVFQJEWOXEQEIFJNXE/
2026-11-02,À partir du 2 novembre 2026,justice,Procès Peterbos (45 prévenus) annoncé.,https://bx1.be/categories/news/proces-peterbos-45-prevenus-devant-la-justice-a-partir-du-2-novembre/
